colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,profitable_fold_ratio,total_test_trades,total_test_profit_r,avg_r_per_trade,mean_test_ap,mean_test_wr,mean_score_std,mean_n_trees,median_threshold,elapsed_s
0.7,1.0,0.005,2,20,2.0,0.5,0.6666666666666666,918,53.5,0.05827886710239651,0.22334291041855545,0.21898848052805805,0.002573916999002298,7.333333333333333,0.4994,0.4
0.7,1.0,0.005,3,20,2.0,0.65,0.6666666666666666,929,53.0,0.05705059203444564,0.21954422814200827,0.22140330570659805,0.003003585540379087,7.333333333333333,0.4992,0.5
0.5,2.0,0.005,2,50,5.0,0.65,0.6666666666666666,816,52.0,0.06372549019607843,0.22289375926884622,0.22690997589650763,0.0025507066942130527,7.666666666666667,0.5003,0.4
0.3,2.0,0.003,2,20,2.0,0.8,0.6666666666666666,687,51.5,0.07496360989810771,0.23993584057531492,0.2301195368182687,0.002755098044872284,20.333333333333332,0.5004,0.5
0.3,0.5,0.003,3,20,2.0,0.8,0.6666666666666666,792,51.5,0.06502525252525253,0.23911164873088905,0.22241257614156773,0.002499408961739391,16.666666666666668,0.5,0.6
0.3,2.0,0.01,2,20,2.0,0.65,0.6666666666666666,872,51.5,0.059059633027522936,0.24269727070176264,0.21796558258417065,0.005035358209473391,11.333333333333334,0.4993,0.5
0.3,1.0,0.01,3,100,1.0,0.5,0.6666666666666666,968,51.0,0.05268595041322314,0.23648698155710393,0.21966971937180477,0.013053842354565859,40.333333333333336,0.4973,0.6
0.7,0.5,0.005,5,100,2.0,0.65,0.6666666666666666,1001,49.5,0.04945054945054945,0.22029672488543364,0.21726030826449239,0.005604579579085112,17.0,0.4928,0.7
0.3,2.0,0.003,3,100,5.0,0.5,0.6666666666666666,947,49.0,0.05174234424498416,0.23353176353576488,0.21823498139287612,0.0013734457703928153,9.666666666666666,0.4992,0.7
0.3,1.0,0.02,5,100,1.0,0.8,0.6666666666666666,798,48.5,0.06077694235588972,0.22702981142146092,0.21268009139172703,0.02096762756506602,25.666666666666668,0.4928,0.8
0.7,1.0,0.005,5,100,5.0,0.5,0.6666666666666666,1003,48.5,0.04835493519441675,0.21777278050555485,0.21788003663003663,0.0032215984150146446,9.333333333333334,0.4986,0.6
0.3,1.0,0.005,3,20,5.0,0.5,0.6666666666666666,634,48.0,0.07570977917981073,0.22625062362490164,0.2198575723659666,0.008161335834302008,36.0,0.4977,0.6
0.5,0.5,0.005,5,50,2.0,0.8,0.6666666666666666,795,47.5,0.059748427672955975,0.22648818285661187,0.21686947519715785,0.0037567574375619492,10.666666666666666,0.4982,0.8
0.7,1.0,0.02,5,50,1.0,0.8,0.6666666666666666,865,47.5,0.05491329479768786,0.2199124207713732,0.22003823642995654,0.045193700740734734,73.66666666666667,0.4813,1.1
0.3,1.0,0.02,3,100,1.0,0.8,0.6666666666666666,777,46.5,0.059845559845559844,0.24040420779350577,0.2207899215314837,0.008663951884955168,7.0,0.4996,0.5
0.3,2.0,0.02,3,100,1.0,0.8,0.6666666666666666,777,46.5,0.059845559845559844,0.24040420779350577,0.2207899215314837,0.008663951884955168,7.0,0.4996,0.5
0.5,2.0,0.003,4,20,5.0,0.8,0.6666666666666666,887,46.5,0.052423900789177004,0.23498120735679603,0.215978941674984,0.0015692206992146869,507.0,0.4997,0.6
0.7,0.5,0.005,3,50,1.0,0.5,0.6666666666666666,1038,46.0,0.04431599229287091,0.23404514127056916,0.21323923768429934,0.014369274528386692,48.0,0.4787,0.7
0.7,1.0,0.005,3,50,1.0,0.5,0.6666666666666666,1038,46.0,0.04431599229287091,0.23404514127056916,0.21323923768429934,0.014369274528386692,48.0,0.4787,0.7
0.7,1.0,0.02,4,20,2.0,0.65,0.6666666666666666,724,45.5,0.06284530386740332,0.22220024466784938,0.2240281224152192,0.034620183209578194,41.333333333333336,0.4977,0.8
0.7,1.0,0.01,5,20,1.0,0.5,0.6666666666666666,920,45.0,0.04891304347826087,0.2164333733280193,0.20819102608220094,0.03303947070768724,72.66666666666667,0.4771,1.1
0.7,2.0,0.02,5,50,2.0,0.5,0.6666666666666666,857,44.0,0.051341890315052506,0.22179014453150922,0.2139711762953571,0.025978512596338987,26.333333333333332,0.488,0.8
0.5,2.0,0.003,3,50,1.0,0.5,0.6666666666666666,1018,43.5,0.04273084479371316,0.23528273382133502,0.22238682868216944,0.015708747513902683,107.33333333333333,0.4918,0.9
0.5,0.5,0.005,2,100,2.0,0.8,0.6666666666666666,734,43.0,0.05858310626702997,0.22427172321745625,0.2224916438950463,0.004552129811296861,16.333333333333332,0.5001,0.5
0.5,2.0,0.01,3,100,5.0,0.8,0.6666666666666666,766,42.0,0.05483028720626632,0.22278310527960846,0.2200506561283624,0.00980132034358879,19.333333333333332,0.4996,0.6
0.5,0.5,0.005,3,50,5.0,0.5,0.6666666666666666,1061,42.0,0.03958529688972667,0.22003736222777803,0.22648734244478927,0.01347447203200621,562.0,0.4974,0.8
0.5,1.0,0.005,3,50,5.0,0.5,0.6666666666666666,1061,42.0,0.03958529688972667,0.22003736222777803,0.22648734244478927,0.01347447203200621,562.0,0.4974,0.7
0.7,2.0,0.02,5,20,2.0,0.5,0.6666666666666666,752,41.5,0.05518617021276596,0.21545689379738278,0.21323782673214176,0.05121454751739899,85.0,0.4723,1.1
0.3,0.5,0.02,4,50,5.0,0.5,0.6666666666666666,685,40.0,0.058394160583941604,0.23116911981616542,0.24093963186006087,0.031286782041812934,554.6666666666666,0.4828,0.8
0.5,2.0,0.005,4,100,5.0,0.65,0.6666666666666666,820,40.0,0.04878048780487805,0.23448275571956936,0.20864899730074118,0.004585724285182853,16.0,0.4985,0.6
0.3,2.0,0.005,4,20,5.0,0.5,0.6666666666666666,774,38.0,0.04909560723514212,0.2483100398747545,0.23367320160946278,0.0035362966397466757,513.3333333333334,0.4973,0.7
0.7,0.5,0.02,2,100,2.0,0.5,0.6666666666666666,743,36.0,0.04845222072678331,0.23789161623338176,0.21723177320192244,0.05218989495187998,120.0,0.4957,0.8
0.3,1.0,0.003,2,100,5.0,0.65,0.6666666666666666,823,36.0,0.04374240583232078,0.24577106212114752,0.2195874056410619,0.0038473772971580424,36.0,0.5,0.5
0.5,1.0,0.003,3,100,2.0,0.8,0.6666666666666666,883,36.0,0.04077010192525481,0.22598393477573298,0.21700654983182863,0.0031321414668733874,19.0,0.4996,0.6
0.5,2.0,0.005,3,20,1.0,0.5,0.6666666666666666,1032,34.0,0.03294573643410853,0.23815708670878943,0.2169122260882843,0.008736077114008367,36.333333333333336,0.4981,0.6
0.3,2.0,0.005,4,20,1.0,0.65,0.6666666666666666,628,33.5,0.05334394904458599,0.21360539605599926,0.21675713087759338,0.008981111304213604,40.333333333333336,0.4997,0.8
0.5,2.0,0.02,2,100,5.0,0.8,0.6666666666666666,798,33.5,0.041979949874686714,0.22305935087182918,0.21776683905558425,0.01499331866701444,14.333333333333334,0.5003,0.5
0.5,2.0,0.01,5,100,2.0,0.8,0.6666666666666666,877,31.5,0.03591790193842646,0.21980423910752514,0.21057480980557905,0.010363249418636164,19.333333333333332,0.4904,0.8
0.3,1.0,0.02,3,100,1.0,0.65,0.6666666666666666,864,30.5,0.03530092592592592,0.22597504489740436,0.20698190058875787,0.006075403808305661,4.0,0.4988,0.5
0.5,1.0,0.003,5,20,1.0,0.8,0.6666666666666666,707,29.0,0.04101838755304102,0.23637219977402332,0.2183645207838756,0.0020171029027551413,8.666666666666666,0.5003,0.8
0.5,1.0,0.003,3,100,1.0,0.8,0.6666666666666666,893,28.5,0.031914893617021274,0.22593045409147341,0.21368273588973627,0.0031509367593874535,19.0,0.4996,0.8
